Timestamp,Lunar_Day,Predicted_Tide,Tide_Type
2024-01-01 0:00,1,5.894293939,Normal
2024-01-01 0:10,1,5.90157814,Normal
2024-01-01 0:20,1,5.908873279,Normal
2024-01-01 0:30,1,5.916179209,Normal
2024-01-01 0:40,1,5.923495782,Normal
2024-01-01 0:50,1,5.930822853,Normal
2024-01-01 1:00,1,5.938160272,Normal
2024-01-01 1:10,1,5.945507891,Normal
2024-01-01 1:20,1,5.952865562,Normal
2024-01-01 1:30,1,5.960233135,Normal
2024-01-01 1:40,1,5.96761046,Normal
2024-01-01 1:50,1,5.974997387,Normal
2024-01-01 2:00,1,5.982393765,Normal
2024-01-01 2:10,1,5.989799444,Normal
2024-01-01 2:20,1,5.99721427,Normal
2024-01-01 2:30,1,6.004638093,Normal
2024-01-01 2:40,1,6.012070759,Normal
2024-01-01 2:50,1,6.019512116,Normal
2024-01-01 3:00,1,6.026962009,Normal
2024-01-01 3:10,1,6.034420286,Normal
2024-01-01 3:20,1,6.041886792,Normal
2024-01-01 3:30,1,6.049361371,Normal
2024-01-01 3:40,1,6.056843869,Normal
2024-01-01 3:50,1,6.06433413,Normal
2024-01-01 4:00,1,6.071831999,Normal
2024-01-01 4:10,1,6.079337318,Normal
2024-01-01 4:20,1,6.08684993,Normal
2024-01-01 4:30,1,6.09436968,Normal
2024-01-01 4:40,1,6.101896408,Normal
2024-01-01 4:50,1,6.109429957,Normal
2024-01-01 5:00,1,6.116970168,Normal
2024-01-01 5:10,1,6.124516882,Normal
2024-01-01 5:20,1,6.132069941,Normal
2024-01-01 5:30,1,6.139629185,Normal
2024-01-01 5:40,1,6.147194454,Normal
2024-01-01 5:50,1,6.154765587,Normal
2024-01-01 6:00,1,6.162342424,Normal
2024-01-01 6:10,1,6.169924803,Normal
2024-01-01 6:20,1,6.177512564,Normal
2024-01-01 6:30,1,6.185105545,Normal
2024-01-01 6:40,1,6.192703583,Normal
2024-01-01 6:50,1,6.200306516,Normal
2024-01-01 7:00,1,6.207914182,Normal
2024-01-01 7:10,1,6.215526417,Normal
2024-01-01 7:20,1,6.223143058,Normal
2024-01-01 7:30,1,6.230763942,Normal
2024-01-01 7:40,1,6.238388903,Normal
2024-01-01 7:50,1,6.246017779,Normal
2024-01-01 8:00,1,6.253650403,Normal
2024-01-01 8:10,1,6.261286612,Normal
2024-01-01 8:20,1,6.268926241,Normal
2024-01-01 8:30,1,6.276569122,Normal
2024-01-01 8:40,1,6.284215091,Normal
2024-01-01 8:50,1,6.291863982,Normal
2024-01-01 9:00,1,6.299515629,Normal
2024-01-01 9:10,1,6.307169863,Normal
2024-01-01 9:20,1,6.31482652,Normal
2024-01-01 9:30,1,6.322485431,Normal
